5.000000
64 64 64
-0.497606 0.032177 -0.866806 2.706409
83547 27 25 20
0.133167 -0.496173 0.857951 13.086735
87643 27 25 21
0.749404 -0.605940 -0.266892 14.429980
108123 27 25 26
0.871759 -0.488634 0.035684 12.854437
132699 27 25 32
0.163123 0.976153 -0.143231 10.842155
165467 27 25 40
0.182785 0.930315 0.317967 2.155314
83611 27 26 20
0.293416 -0.793851 0.532642 9.149858
87707 27 26 21
0.451349 -0.892167 0.017917 10.899086
169627 27 26 41
-0.033725 0.825418 0.563514 6.407063
181915 27 26 44
0.851600 0.369178 0.372135 14.729718
190107 27 26 46
0.271384 0.301359 -0.914075 14.390569
116443 27 27 28
0.803370 0.241691 0.544227 14.195780
128731 27 27 31
0.646419 0.751989 0.129054 19.768497
136923 27 27 33
-0.583060 0.470707 -0.662175 16.768814
169691 27 27 41
0.368052 0.710714 0.599519 10.909451
177883 27 27 43
0.520666 0.647842 -0.556065 15.787030
190171 27 27 46
0.275893 -0.366459 -0.888589 14.363860
194267 27 27 47
0.180596 -0.128061 -0.975185 10.946727
132891 27 28 32
-0.120161 -0.969828 -0.212122 17.837236
136987 27 28 33
-0.850566 0.017851 -0.525565 17.723265
145179 27 28 35
-0.400641 0.538724 -0.741123 11.183987
190235 27 28 46
0.111600 -0.907423 -0.405129 12.251493
79707 27 29 19
0.947101 0.131677 -0.292679 1.424482
120667 27 29 29
-0.546079 -0.121857 0.828824 17.307217
124763 27 29 30
-0.477604 -0.857138 -0.192894 18.103388
137051 27 29 33
-0.943265 0.199322 -0.265561 17.796415
149339 27 29 36
0.131809 0.988951 -0.067845 13.548519
153435 27 29 37
0.264216 0.939853 0.216488 13.867761
157531 27 29 38
0.458576 0.829364 0.319159 15.732579
169819 27 29 41
0.835564 0.540759 0.097018 20.953323
178011 27 29 43
0.716562 0.021849 -0.697181 16.855434
194395 27 29 47
0.167796 -0.892099 -0.419527 5.539949
133019 27 30 32
0.614539 -0.693440 0.376140 16.132006
141211 27 30 34
0.279630 -0.854635 0.437500 16.749819
145307 27 30 35
0.290650 0.862586 0.414087 17.782019
149403 27 30 36
0.553539 0.826269 -0.104276 18.111340
157595 27 30 38
0.749949 0.449206 0.485583 19.054043
169883 27 30 41
0.998240 -0.044759 0.038899 23.249556
186267 27 30 45
0.676171 -0.110570 -0.728401 8.256022
120795 27 31 29
0.717896 -0.546453 0.431294 15.389428
145371 27 31 35
0.365959 -0.061694 0.928584 18.312958
149467 27 31 36
0.995942 0.015285 0.088689 19.766907
153563 27 31 37
0.985839 -0.002160 -0.167683 19.469744
157659 27 31 38
0.921461 -0.384065 -0.058335 19.090395
165851 27 31 40
0.772701 -0.627784 0.093912 20.599869
178139 27 31 43
0.905339 0.012705 -0.424500 18.034853
182235 27 31 44
0.816300 0.040177 -0.576229 13.504023
96283 27 32 23
0.666883 0.077581 0.741113 3.903407
104475 27 32 25
0.804082 -0.356935 0.475447 9.512226
161819 27 32 39
